,City,Country,Latitude,Longitude,Cloudiness,Humidity,Max_Temp,Wind_Speed,Date
0,Bluff,NZ,-46.6,168.33,36,75,295.37,1.79,1581893644
1,Haines Junction,CA,60.75,-137.51,96,92,251.17,1.61,1581893644
2,Anadyr,RU,64.75,177.48,100,59,256.15,13.0,1581893644
3,Bernalillo,US,35.05,-106.67,1,19,292.15,8.7,1581893644
4,Talcahuano,CL,-36.72,-73.12,0,64,293.15,6.2,1581893644
5,Geraldton,AU,-28.77,114.6,3,82,291.15,4.6,1581893486
6,New Norfolk,AU,-42.78,147.06,75,58,288.71,3.1,1581893644
7,Hobart,AU,-42.88,147.33,75,58,288.71,3.1,1581893568
8,Port Alfred,ZA,-33.59,26.89,82,97,294.26,3.13,1581893645
9,Bethel,US,41.37,-73.41,90,64,278.71,2.1,1581893645
10,Qaanaaq,GL,77.48,-69.36,69,45,256.49,3.65,1581893429
11,Verkhneuralsk,RU,53.88,59.21,90,85,263.15,3.0,1581893645
12,Lavrentiya,RU,65.58,-171.0,100,90,254.45,5.63,1581893645
13,Kruisfontein,ZA,-34.0,24.73,100,83,293.09,4.92,1581893645
14,Codrington,AU,-38.27,141.97,12,85,289.81,4.69,1581893232
15,Lorengau,PG,-2.02,147.27,27,77,301.88,4.82,1581893423
16,Hickory,US,35.73,-81.34,90,95,282.15,1.42,1581893645
17,Thompson,CA,55.74,-97.86,75,57,251.15,3.1,1581893417
18,Busselton,AU,-33.65,115.33,0,57,288.15,5.78,1581893201
19,Te Anau,NZ,-45.42,167.72,100,78,289.9,1.88,1581893547
20,Puerto Ayora,EC,-0.74,-90.35,20,66,303.15,8.2,1581893410
21,Avarua,CK,-21.21,-159.78,100,83,300.15,3.6,1581893202
22,Bejucal,CU,22.93,-82.39,20,51,302.15,5.7,1581893646
23,Berlevag,NO,70.86,29.09,75,83,273.15,6.7,1581893263
24,Cape Town,ZA,-33.93,18.42,20,88,292.59,4.1,1581893646
25,Luderitz,NA,-26.65,15.16,1,88,292.15,1.5,1581893438
26,Upernavik,GL,72.79,-56.15,99,92,255.02,3.85,1581893121
27,Vyazemskiy,RU,47.54,134.75,100,91,256.22,2.03,1581893646
28,Provideniya,RU,64.38,-173.3,90,84,257.15,14.0,1581893503
29,Alice Springs,AU,-23.7,133.88,3,27,299.15,0.5,1581893412
30,Husavik,IS,66.04,-17.34,90,98,274.15,19.0,1581893416
31,Eyl,SO,7.98,49.82,88,78,297.62,8.73,1581893443
32,Punta Arenas,CL,-53.15,-70.92,40,57,284.15,10.8,1581893646
33,Kamphaeng Phet,TH,16.48,99.52,8,84,295.93,0.91,1581893646
34,San Cristobal,VE,7.77,-72.22,40,55,303.15,4.1,1581893256
35,Ponta do Sol,PT,32.67,-17.1,40,72,291.15,3.1,1581893413
36,Vardo,NO,70.37,31.11,90,100,272.15,8.7,1581893423
37,Bambous Virieux,MU,-20.34,57.76,20,73,298.15,1.5,1581893426
38,Pauini,BR,-7.71,-66.98,89,93,297.77,1.38,1581893647
39,Sambava,MG,-14.27,50.17,100,94,295.98,1.15,1581893453
40,Magadan,RU,59.57,150.8,0,75,255.37,3.04,1581893647
41,Norman Wells,CA,65.28,-126.83,5,66,237.15,1.0,1581893430
42,Kapaa,US,22.08,-159.32,75,73,298.15,8.2,1581893352
43,Bredasdorp,ZA,-34.53,20.04,2,68,294.26,2.1,1581893413
44,Klaksvik,FO,62.23,-6.59,87,93,277.15,3.1,1581893416
45,Narrabri,AU,-30.32,149.78,12,58,301.15,7.2,1581893647
46,Los Llanos de Aridane,ES,28.66,-17.92,20,72,293.15,4.6,1581893432
47,Kosonsoy,UZ,41.26,71.55,100,55,275.15,3.1,1581893648
48,Arraial do Cabo,BR,-22.97,-42.03,49,87,298.84,10.37,1581893406
49,Idanre,NG,7.11,5.12,26,95,294.35,1.07,1581893648
50,Chunskiy,RU,56.08,99.63,72,98,257.82,0.56,1581893648
51,Bubaque,GW,11.28,-15.83,99,75,299.32,5.47,1581893648
52,Mataura,NZ,-46.19,168.86,64,75,295.37,1.79,1581893409
53,Kodiak,US,57.79,-152.41,20,74,272.15,3.85,1581893415
54,Ila,NO,63.43,10.37,100,69,278.71,7.2,1581893648
55,Lompoc,US,34.64,-120.46,1,31,297.59,5.7,1581893424
56,Chokurdakh,RU,70.63,147.92,100,97,252.56,4.46,1581893410
57,Chara,RU,56.91,118.26,99,97,258.32,0.52,1581893485
58,Pareora,NZ,-44.49,171.21,95,45,300.21,2.55,1581893648
59,Atuona,PF,-9.8,-139.03,15,78,300.14,7.17,1581893225
60,Cidreira,BR,-30.18,-50.21,0,87,298.09,10.74,1581893415
61,Jieshi,CN,22.81,115.83,61,48,282.59,1.34,1581893258
62,Maridi,SS,4.92,29.47,98,49,296.82,1.85,1581893649
63,Ushuaia,AR,-54.8,-68.3,75,61,283.15,9.8,1581893343
64,Bengkulu,ID,-3.8,102.27,98,83,296.46,1.18,1581893413
65,Longyearbyen,SJ,78.22,15.64,20,78,260.15,1.0,1581893425
66,Rikitea,PF,-23.12,-134.97,96,77,299.78,8.99,1581893118
67,Hilo,US,19.73,-155.09,40,57,299.15,3.1,1581893467
68,Kokstad,ZA,-30.55,29.42,0,49,290.01,1.85,1581893649
69,Port Hedland,AU,-20.32,118.57,40,94,300.15,3.6,1581893437
70,Hithadhoo,MV,-0.6,73.08,13,73,301.72,2.92,1581893650
71,East London,ZA,-33.02,27.91,72,77,298.46,7.33,1581893415
72,Sayyan,YE,15.17,44.32,0,38,282.88,0.21,1581893650
73,Ternate,ID,0.8,127.4,44,73,299.86,0.62,1581893509
74,Farafangana,MG,-22.82,47.83,95,84,298.11,3.07,1581893650
75,Chapleau,CA,47.84,-83.4,75,60,261.15,3.1,1581893650
76,Den Helder,NL,52.96,4.76,20,81,282.59,10.3,1581893581
77,Ginda,IN,30.69,78.49,0,25,279.93,2.81,1581893650
78,San Patricio,MX,19.22,-104.7,20,70,303.15,5.1,1581893218
79,Santa Rosa,PH,14.31,121.11,20,83,298.15,1.73,1581893240
80,Alenquer,BR,-1.94,-54.74,20,74,302.15,2.1,1581893650
81,Teya,RU,60.38,92.63,92,96,257.57,1.59,1581893449
82,Vao,NC,-22.67,167.48,2,78,299.14,7.97,1581893258
83,Carnarvon,AU,-24.87,113.63,0,78,295.15,6.7,1581893547
84,Suntar,RU,62.14,117.63,100,95,260.41,2.69,1581893651
85,Lebu,CL,-37.62,-73.65,0,76,287.77,1.64,1581893284
